"Menu Category","Menu Items","Per Serve Size","Energy (kCal)","Protein (g)","Total fat (g)","Sat Fat (g)","Trans fat (g)","Cholesterols (mg)","Total carbohydrate (g)","Total Sugars (g)","Added Sugars (g)","Sodium (mg)"
"Regular Menu","McVeggie™ Burger","168 g","40205","1024","1383","534","16","249","5654","79","449","70613"
"Regular Menu","McAloo Tikki Burger®","146 g","33952","85","1131","427","2","147","5027","705","407","54534"
"Regular Menu","McSpicy™ Paneer Burger","199 g","65276","2029","3945","1712","18","2185","5233","835","527","107458"
"Regular Menu","Spicy Paneer Wrap","250 g","67468","2096","391","1973","26","4093","5927","35","108","108746"
"Regular Menu","American Veg Burger","177 g","51217","153","2345","1051","17","2524","5696","785","476","105124"
"Regular Menu","Veg Maharaja Mac","306 g","83267","2417","3794","1683","28","3619","9384","1152","692","152922"
"Regular Menu","Green Chilli Aloo Naan","132 g","35609","791","1508","611","24","945","4636","453","115","5796"
"Regular Menu","Pizza Puff","87 g","22821","545","1144","572","9","517","2479","273","35","39074"
"Regular Menu","Mc chicken Burger","173 g","4008","1566","157","547","16","3117","4798","553","449","76633"
"Regular Menu","FILLET-O-FISH Burger","136 g","34811","1544","1416","579","21","3283","3885","558","354","53054"
"Regular Menu","Mc Spicy Chicken Burger","186 g","45192","2146","1936","763","18","6604","4608","588","449","92852"
"Regular Menu","Spicy Chicken Wrap","257 g","56719","2374","2689","1254","27","8763","5706","252","108","115238"
"Regular Menu","Chicken Maharaja Mac","296 g","68912","340","3669","1033","25","8149","5539","892","614","185471"
"Regular Menu","American Chicken Burger","165 g","44695","2029","2294","728","15","4763","3854","748","476","11323"
"Regular Menu","Chicken Kebab Burger","138 g","35705","864","1402","484","13","151","479","508","349","54879"
"Regular Menu","Green Chilli Kebab naan","138 g","23095","567","932","327","19","874","3106","364","115","41078"
"Regular Menu","Mc Egg Masala Burger","126.2 g","29042","1245","1227","364","11","21309","3289","489","364","75791"
"Regular Menu","Mc Egg Burger for Happy Meal","123 g","28298","1229","1221","363","11","21309","3132","466","364","39941"
"Regular Menu","Ghee Rice with Mc Spicy Fried Chicken 1 pc","325 g","7203","2691","292","508","3","3132","7747","328","35","239949"
"Regular Menu","McSpicy Fried Chicken 1 pc","115 g","24876","1733","1429","282","6","3111","127","58","0","87389"
"Regular Menu","4 piece Chicken McNuggets","64 g","16968","1003","954","445","6","2466","105","32","0","31325"
"Regular Menu","6 piece Chicken McNuggets","96 g","25452","1504","143","668","1","3699","1574","48","0","46987"
"Regular Menu","9 piece Chicken McNuggets","144 g","38177","2256","2146","1002","14","5548","2362","72","0","70481"
"Regular Menu","2 piece Chicken Strips","58 g","16444","1017","1238","1141","6","301","268","29","0","47722"
"Regular Menu","3 piece Chicken Strips","87 g","24665","1526","1857","1712","9","4515","402","44","0","71583"
"Regular Menu","5 piece Chicken Strips","145 g","41109","2543","2854","15","7526","67","73","72","0","119305"
"Regular Menu","Regular Fries","77 g","22459","338","1039","497","8","77","2708","39","0","15315"
"Regular Menu","Medium Fries","109 g","31792","479","147","704","11","109","3834","55","0","21679"
"Regular Menu","Large Fries","154 g","44917","676","2077","995","15","154","5416","77","0","30629"
"Regular Menu","Regular Wedges","114 g","20465","397","715","339","1","97","2874","48","0","35644"
"Regular Menu","Medium Wedges","156 g","28005","544","979","464","13","133","3933","66","0","48776"
"Regular Menu","Large Wedges","216 g","38776","753","1355","643","18","184","5446","92","0","67535"
"Regular Menu","L1 Coffee","200 ml","68","0","0","0","0","0","17","0","0","0"
"Regular Menu","L1 Coffee with milk","205 ml","358","10","20","12","8","60","16","345","0","140"
"Regular Menu","Double Chocochips Muffin","80 g","34168","513","1728","714","8","1596","4013","2944","0","31321"
"Regular Menu","Vanilla Chocochips Muffin","80 g","32929","448","1546","714","8","7852","4013","296","0","25492"
"Breakfast Menu","Veg McMuffin","119 g","30935","1022","1178","729","18","2531","3886","302","75","80463"
"Breakfast Menu","Double Cheese McMuffin","100 g","27378","958","1282","884","21","3775","290","259","75","62295"
"Breakfast Menu","Spicy Egg McMuffin","123.2 g","27827","1149","1181","343","11","21261","3137","263","105","7736"
"Breakfast Menu","Sausage Mc Muffin","112 g","28144","1625","1081","604","17","5302","2862","238","75","7426"
"Breakfast Menu","Sausage Mc Muffin with egg","157 g","29042","2246","1594","808","22","2648","2887","261","75","80404"
"Breakfast Menu","Egg McMuffin","112 g","28346","1405","1231","692","17","2333","2812","238","75","51931"
"Breakfast Menu","Hot Cake with maple syrup","142 g","43298","86","1402","711","32","2814","6801","2572","135","61574"
"Breakfast Menu","Hash Brown","64 g","14029","193","732","342","6","64","1563","32","0","27526"
"Breakfast Menu","Espresso","26.5 ml","1287","52","3","3","3","27","255","13","0","32"
"Breakfast Menu","Espresso Machiato","76.5 ml","4498","209","202","149","8","627","497","25","0","2605"
"Breakfast Menu","Americano (S)","276.5 ml","1287","52","3","3","3","27","255","13","0","32"
"Breakfast Menu","Americano (R)","347.5 ml","2307","94","5","5","5","48","457","24","0","57"
"Breakfast Menu","Americano (L)","455 ml","2671","109","6","6","6","55","53","28","0","65"
"Breakfast Menu","Cappuccino (S)","201.5 ml","12525","602","701","515","2","2127","1102","84","0","9039"
"Breakfast Menu","Cappuccino (R)","297.5 ml","18361","879","1002","737","3","3048","1667","1205","0","12924"
"McCafe Menu","Cappuccino (L)","355 ml","21936","1051","1203","885","36","3655","1981","1445","0","15506"
"McCafe Menu","Latte (S)","236.5 ml","14772","712","841","618","24","2547","1271","1006","0","1084"
"McCafe Menu","Latte (R)","307.5 ml","19003","91","1042","767","31","3168","1715","1252","0","13439"
"McCafe Menu","Latte (L)","375 ml","2322","1114","1282","943","38","3895","2077","154","0","16536"
"McCafe Menu","Flat White (S)","266.5 ml","16699","806","96","706","27","2907","1416","1147","0","12384"
"McCafe Menu","Flat White (R)","347.5 ml","21572","1036","1202","884","35","3648","1908","1441","0","15498"
"McCafe Menu","Flat White (L)","405 ml","25147","1208","1402","1031","41","4255","2222","1681","0","1808"
"McCafe Menu","Mocha (S)","242.5 ml","18585","715","82","594","26","2443","2259","1757","608","13284"
"McCafe Menu","Mocha (R)","311.5 ml","2440","899","991","717","34","2952","3172","2356","912","16847"
"McCafe Menu","Mocha (L)","377 ml","30202","1088","1201","867","41","3567","4004","2996","1216","20909"
"McCafe Menu","Babycino","127 ml","1435","387","438","308","15","1227","2285","1853","921","9644"
"McCafe Menu","Hot Chocolate (S)","223 ml","23942","673","777","549","26","2203","3708","3031","1529","16721"
"McCafe Menu","Hot Chocolate (R)","259 ml","29681","77","876","613","32","2459","4841","3924","2137","20709"
"McCafe Menu","Hot Chocolate (L)","367 ml","38329","1101","1284","909","43","3667","5843","4796","2441","27335"
"McCafe Menu","Premium Dark Hot Chocolate","153 ml","21421","615","596","427","15","1473","3304","2573","104","6828"
"McCafe Menu","Double Dark Hot Chocolate","163 ml","25578","687","632","449","16","1483","4129","3181","135","7026"
"McCafe Menu","English Breakfast (S)","279 ml","993","56","28","28","28","279","28","14","0","1384"
"McCafe Menu","English Breakfast (R)","330 ml","1175","66","33","33","33","33","33","165","0","1637"
"McCafe Menu","English Breakfast (L)","456 ml","1623","91","46","46","46","456","46","228","0","2262"
"McCafe Menu","Moroccon Mint Green Tea (S)","279 ml","625","33","28","28","28","279","279","14","0","1495"
"McCafe Menu","Moroccon Mint Green Tea (R)","330 ml","739","4","33","33","33","33","33","165","0","1769"
"McCafe Menu","Moroccon Mint Green Tea (L)","456 ml","1021","55","46","46","46","456","456","228","0","2444"
"McCafe Menu","Strawberry Green Tea (S)","279 ml","703","47","28","28","28","279","279","14","0","1454"
"McCafe Menu","Strawberry Green Tea (R)","330 ml","832","56","33","33","33","33","33","165","0","1719"
"McCafe Menu","Strawberry Green Tea (L)","456 ml","1149","78","46","46","46","456","456","228","0","2376"
"McCafe Menu","Lemon Ice Tea","245 ml","12186","27","17","17","17","165","3059","2653","256","1026"
"McCafe Menu","Strawberry Ice Tea","236.5 ml","9495","24","16","16","16","157","2417","211","2027","972"
"McCafe Menu","Green Apple Ice Tea","236.5 ml","9494","24","16","16","16","157","2417","2075","1994","961"
"McCafe Menu","Iced Coffee","291.5 ml","18534","436","445","326","15","1213","3188","2695","175","7835"
"McCafe Menu","Cold Coffee Frappe","296.5 ml","33117","498","1473","1391","16","918","4539","3557","2751","18893"
"McCafe Menu","Mocha Frappe","320.5 ml","39798","549","1501","140","2","942","6093","4755","3663","23332"
"McCafe Menu","Chocolate Oreo Frappe","334 ml","48111","603","1889","1591","22","936","7251","5514","4435","3326"
"McCafe Menu","Strawberry Shake","259 ml","25551","367","744","668","12","839","4407","3742","298","13997"
"McCafe Menu","Chocolate Shake","259 ml","2709","416","77","674","14","839","4676","3778","2788","17846"
"McCafe Menu","Mango Smoothie","280 ml","23144","321","363","265","14","989","4625","3887","2972","8545"
"McCafe Menu","Mixed Berry Smoothie","290 ml","23543","333","359","264","15","999","4716","430","3365","9207"
"McCafe Menu","Raw Mango Cooler","310 ml","10238","14","4","4","4","4","2518","2106","1928","10268"
"McCafe Menu","Mix Berry Cooler","310 ml","10385","16","4","4","4","4","2556","2125","2052","2382"
"McCafe Menu","Sweet Lime Beverage","310 ml","12821","7","8","0","0","0","3172","2872","2808","662"
"McCafe Menu","Iced Americano","266.5 ml","15085","359","357","262","13","976","2601","2158","140","6275"
"McCafe Menu","American Mud Pie Shake","317 ml","39819","567","1277","1138","2","1089","6475","534","3435","18573"
"McCafe Menu","Soft serve cone","81.29 g","8573","199","182","131","5","475","1523","1068","699","4078"
"McCafe Menu","McSwirl ChocoDip","93.29 g","16014","271","714","525","7","571","2092","1539","1131","5131"
"McCafe Menu","Regular Soft Serve: Hot Fudge","91.79 g","12164","225","402","301","8","585","1911","1707","1078","6556"
"McCafe Menu","Medium Soft Serve: Hot Fudge","132.08 g","19745","349","687","516","13","855","3042","2701","169","11039"
"McCafe Menu","Regular Soft Serve: Strawberry","91.79 g","10099","154","177","13","6","485","1978","1766","1249","3451"
"McCafe Menu","Medium Soft Serve: Strawberry","132.08 g","15614","205","236","174","1","655","3177","282","2032","4828"
"McCafe Menu","Regular Soft Serve: Brownie with Hot Fudge","110.79 g","20526","32","545","365","1","604","3526","2075","1439","10089"
"McCafe Menu","Medium Soft Serve: Brownie with Hot Fudge","155.08 g","31139","465","746","471","13","778","5524","2794","2028","1464"
"McCafe Menu","Regular Blackforest","125.79 g","23789","322","547","366","11","619","4342","2779","1994","10447"
"McCafe Menu","Medium Blackforest","200.08 g","42995","542","976","647","19","923","7904","4845","3522","1882"
"Desserts Menu","Small McFlurry - Oreo","86.79 g","11636","205","37","225","7","48","1869","1449","108","8073"
"Desserts Menu","Regular McFlurry - Oreo","147.38 g","20939","358","681","407","12","80","3342","2535","1923","1509"
"Gourmet Menu","American Triple Cheese Chicken","195 g","45794","2443","2265","1156","17","7123","3745","764","384","139617"
"Gourmet Menu","American Triple Cheese Veg","207 g","52469","1954","2316","1478","19","4874","5624","79","384","117427"
"Gourmet Menu","Cheese Lava Burger","240 g","67106","1499","3348","1412","21","3321","7425","1627","1001","115399"
"Gourmet Menu","Chicken Cheese Lava Burger","307 g","83436","2737","4518","170","27","7311","7603","1675","1001","174504"
"Gourmet Menu","Chunky Chipotle American Burger Chicken","301 g","64136","3947","3151","954","26","11037","4624","916","632","190627"
"Gourmet Menu","McSpicy Premium Chicken Burger","264.5 g","62225","3149","3465","1555","24","30261","436","607","264","161488"
"Gourmet Menu","McSpicy Premium Veg Burger","212.5 g","63471","2244","3921","2046","2","4368","460","757","328","144687"
"Gourmet Menu","Piri piri Mc Spicy Chicken Burger","228 g","4434","2563","173","401","19","6419","4329","929","632",""
"Gourmet Menu","Piri piri Mc Spicy Veg Burger","211 g","51798","1197","2453","601","18","81","5887","1287","667","117089"
"Gourmet Menu","Cheesy Veg Nuggets (6pc)","90 g","25229","848","1309","753","9","2003","236","131","0","42817"
"Gourmet Menu","Cheesy Veg Nuggets (9pc)","135 g","37843","1272","1963","113","14","3005","354","196","0","64225"
"Beverages Menu","Small Coca-Cola","299 ml","10956","0","0","0","0","0","2739","2739","2739","2117"
"Beverages Menu","Medium Coca-Cola","394 ml","15136","0","0","0","0","0","3784","3784","3784","2924"
"Beverages Menu","Large Coca-Cola","544 ml","21736","0","0","0","0","0","5434","5434","5434","4199"
"Beverages Menu","Small Fanta Oragne","299 ml","12948","0","0","0","0","0","3237","3237","3237","5553"
"Beverages Menu","Medium Fanta Orange","394 ml","17888","0","0","0","0","0","4472","4472","4472","7671"
"Beverages Menu","Large Fanta Oragne","544 ml","25688","0","0","0","0","0","6422","6422","6422","11016"
"Beverages Menu","Small Thums-up","299 ml","996","0","0","0","0","0","249","249","249","2515"
"Beverages Menu","Medium Thums-up","394 ml","1376","0","0","0","0","0","344","344","344","3474"
"Beverages Menu","Large Thums-up","544 ml","1976","0","0","0","0","0","494","494","494","4989"
"Beverages Menu","Small Sprite","299 ml","11952","0","0","0","0","0","2988","2988","2988","202"
"Beverages Menu","Medium Sprite","394 ml","16512","0","0","0","0","0","4128","4128","4128","279"
"Beverages Menu","Large Sprite","544 ml","23712","0","0","0","0","0","5928","5928","5928","40"
"Beverages Menu","Coke Float","286.79 ml","13876","152","175","128","5","47","2922","2823","2454","4453"
"Beverages Menu","Fanta Float","286.79 ml","15156","152","175","128","5","47","3242","3143","2774","6661"
"Beverages Menu","Sprite Float","286.79 ml","14516","152","175","128","5","47","3082","2983","2614","4709"
"Beverages Menu","Coke Zero Can","330 ml","99","0","0","0","0","0","0","0","0","2475"
"Beverages Menu","Vedica Natural Mineral Water","500 ml","0","0","0","0","0","0","0","0","0","29"
"Condiments Menu","Mustard diping sauce","25 g","8118","52","557","178","47","29","724","666","40","22132"
"Condiments Menu","BBQ diping sauce","25 g","5489","26","49","15","4","25","1236","765","25","11323"
"Condiments Menu","Chilli Sauce","10 g","807","3","1","1","1","1","199","153","134","6524"
"Condiments Menu","Piri Piri Mix","5 g","1713","51","36","8","1","5","25","66","4","41471"
"Condiments Menu","Tomato Ketchup Sachets","8 g","1123","8","2345","0","1","8","263","233","164","7105"
"Condiments Menu","Maple Syrup","30 g","864","0","0","0","0","3","216","162","534","150"
"Condiments Menu","Cheese Slice","14 g","5103","306","399","289","1","1343","72","54","0","17895"
"Condiments Menu","Sweet Corn","40 g","4508","147","10","22","4","20","755","254","0","4"
"Condiments Menu","Mixed Fruit Beverage","180 ml","7225","65","2","2","2","1","180","1683","0","108"
